"College Code","College Name","Category Name",University,District,Zone,Group,branch,"Total No of students","1st year","2nd year","3rd year","4th year"
1101,"Aalim Muhammed Salegh College Of Engineering","Affilated Non - Autonomous","ANNA UNIVERSITY",TIRUVALLUR,"Zone I : Chennai-I",1,"B.E Electronics and Communication Engineering",160,37,63,29,31
1101,"Aalim Muhammed Salegh College Of Engineering","Affilated Non - Autonomous","ANNA UNIVERSITY",TIRUVALLUR,"Zone I : Chennai-I",1,"B.E Computer Science and Engineering",394,110,123,76,85
1101,"Aalim Muhammed Salegh College Of Engineering","Affilated Non - Autonomous","ANNA UNIVERSITY",TIRUVALLUR,"Zone I : Chennai-I",1,"B.E Civil Engineering",72,7,18,18,29
1101,"Aalim Muhammed Salegh College Of Engineering","Affilated Non - Autonomous","ANNA UNIVERSITY",TIRUVALLUR,"Zone I : Chennai-I",1,"B.E Electrical and Electronics Engineering",81,10,29,26,16
1101,"Aalim Muhammed Salegh College Of Engineering","Affilated Non - Autonomous","ANNA UNIVERSITY",TIRUVALLUR,"Zone I : Chennai-I",1,"B.Tech Information Technology",196,57,61,38,40
1101,"Aalim Muhammed Salegh College Of Engineering","Affilated Non - Autonomous","ANNA UNIVERSITY",TIRUVALLUR,"Zone I : Chennai-I",1,"B.E Mechanical Engineering",176,18,42,57,59
1101,"Aalim Muhammed Salegh College Of Engineering","Affilated Non - Autonomous","ANNA UNIVERSITY",TIRUVALLUR,"Zone I : Chennai-I",1,"B.Tech Artificial Intelligence and Data Science",41,41,0,0,0
1102,"AALIM MUHAMMED SALEGH ACADEMY OF ARCHITECTURE",Architecture,"ANNA UNIVERSITY",TIRUVALLUR,,,,5,0,0,2,3
1102,"AALIM MUHAMMED SALEGH ACADEMY OF ARCHITECTURE",Architecture,"ANNA UNIVERSITY",TIRUVALLUR,,,"B.Arch Architecture",124,0,26,33,65
1103,"GRT INSTITUTE OF ENGINEERING AND TECHNOLOGY","Affilated Non - Autonomous","ANNA UNIVERSITY",TIRUVALLUR,"Zone I : Chennai-I",1,"B.E Electrical and Electronics Engineering",78,25,22,12,19
1103,"GRT INSTITUTE OF ENGINEERING AND TECHNOLOGY","Affilated Non - Autonomous","ANNA UNIVERSITY",TIRUVALLUR,"Zone I : Chennai-I",1,"B.E Mechanical Engineering",95,16,24,24,31
1103,"GRT INSTITUTE OF ENGINEERING AND TECHNOLOGY","Affilated Non - Autonomous","ANNA UNIVERSITY",TIRUVALLUR,"Zone I : Chennai-I",1,"B.E Biomedical Engineering",169,42,48,44,35
1103,"GRT INSTITUTE OF ENGINEERING AND TECHNOLOGY","Affilated Non - Autonomous","ANNA UNIVERSITY",TIRUVALLUR,"Zone I : Chennai-I",1,"B.E Computer Science and Engineering",222,59,64,52,47
1103,"GRT INSTITUTE OF ENGINEERING AND TECHNOLOGY","Affilated Non - Autonomous","ANNA UNIVERSITY",TIRUVALLUR,"Zone I : Chennai-I",1,"B.E Civil Engineering",8,0,0,0,8
1103,"GRT INSTITUTE OF ENGINEERING AND TECHNOLOGY","Affilated Non - Autonomous","ANNA UNIVERSITY",TIRUVALLUR,"Zone I : Chennai-I",1,"B.Tech Artificial Intelligence and Data Science",59,59,0,0,0
1103,"GRT INSTITUTE OF ENGINEERING AND TECHNOLOGY","Affilated Non - Autonomous","ANNA UNIVERSITY",TIRUVALLUR,"Zone I : Chennai-I",1,"B.E Electronics and Communication Engineering",216,59,60,45,52
1105,"GOJAN SCHOOL OF BUSINESS AND TECHNOLOGY","Affilated Non - Autonomous","ANNA UNIVERSITY",TIRUVALLUR,"Zone I : Chennai-I",1,"B.E Medical Electronics Engineering",29,29,0,0,0
1105,"GOJAN SCHOOL OF BUSINESS AND TECHNOLOGY","Affilated Non - Autonomous","ANNA UNIVERSITY",TIRUVALLUR,"Zone I : Chennai-I",1,"B.E Electrical and Electronics Engineering",53,0,0,27,26
1105,"GOJAN SCHOOL OF BUSINESS AND TECHNOLOGY","Affilated Non - Autonomous","ANNA UNIVERSITY",TIRUVALLUR,"Zone I : Chennai-I",1,"B.E Civil Engineering",16,0,0,14,2
1105,"GOJAN SCHOOL OF BUSINESS AND TECHNOLOGY","Affilated Non - Autonomous","ANNA UNIVERSITY",TIRUVALLUR,"Zone I : Chennai-I",1,"B.E Aeronautical Engineering",103,27,18,35,23
1105,"GOJAN SCHOOL OF BUSINESS AND TECHNOLOGY","Affilated Non - Autonomous","ANNA UNIVERSITY",TIRUVALLUR,"Zone I : Chennai-I",1,"B.E Mechanical Engineering",121,0,0,82,39
1105,"GOJAN SCHOOL OF BUSINESS AND TECHNOLOGY","Affilated Non - Autonomous","ANNA UNIVERSITY",TIRUVALLUR,"Zone I : Chennai-I",1,"B.E Computer Science and Engineering (Artificial Intelligence and Machine learning )",27,27,0,0,0
1105,"GOJAN SCHOOL OF BUSINESS AND TECHNOLOGY","Affilated Non - Autonomous","ANNA UNIVERSITY",TIRUVALLUR,"Zone I : Chennai-I",1,"B.Tech Information Technology",98,30,30,20,18
1105,"GOJAN SCHOOL OF BUSINESS AND TECHNOLOGY","Affilated Non - Autonomous","ANNA UNIVERSITY",TIRUVALLUR,"Zone I : Chennai-I",1,"B.E Computer Science and Engineering (CyberSecurity)",30,30,0,0,0
1105,"GOJAN SCHOOL OF BUSINESS AND TECHNOLOGY","Affilated Non - Autonomous","ANNA UNIVERSITY",TIRUVALLUR,"Zone I : Chennai-I",1,"B.E Electronics and Communication Engineering",187,60,53,47,27
1105,"GOJAN SCHOOL OF BUSINESS AND TECHNOLOGY","Affilated Non - Autonomous","ANNA UNIVERSITY",TIRUVALLUR,"Zone I : Chennai-I",1,"B.E Computer Science and Engineering",209,58,59,62,30
1105,"GOJAN SCHOOL OF BUSINESS AND TECHNOLOGY","Affilated Non - Autonomous","ANNA UNIVERSITY",TIRUVALLUR,"Zone I : Chennai-I",1,"B.E Mechanical and automation engineering",18,18,0,0,0
1106,"INDIRA INSTITUTE OF ENGINEERING AND TECHNOLOGY","Affilated Non - Autonomous","ANNA UNIVERSITY",TIRUVALLUR,"Zone I : Chennai-I",1,"B.E Electronics and Communication Engineering",25,5,11,2,7
1106,"INDIRA INSTITUTE OF ENGINEERING AND TECHNOLOGY","Affilated Non - Autonomous","ANNA UNIVERSITY",TIRUVALLUR,"Zone I : Chennai-I",1,"B.E Computer Science and Engineering",100,38,28,11,23
1106,"INDIRA INSTITUTE OF ENGINEERING AND TECHNOLOGY","Affilated Non - Autonomous","ANNA UNIVERSITY",TIRUVALLUR,"Zone I : Chennai-I",1,"B.E Mechanical Engineering",52,5,33,9,5
1106,"INDIRA INSTITUTE OF ENGINEERING AND TECHNOLOGY","Affilated Non - Autonomous","ANNA UNIVERSITY",TIRUVALLUR,"Zone I : Chennai-I",1,"B.E Electrical and Electronics Engineering",47,4,25,10,8
1106,"INDIRA INSTITUTE OF ENGINEERING AND TECHNOLOGY","Affilated Non - Autonomous","ANNA UNIVERSITY",TIRUVALLUR,"Zone I : Chennai-I",1,"B.E Civil Engineering",1,0,1,0,0
1106,"INDIRA INSTITUTE OF ENGINEERING AND TECHNOLOGY","Affilated Non - Autonomous","ANNA UNIVERSITY",TIRUVALLUR,"Zone I : Chennai-I",1,"B.E Petrochemical Engineering",5,0,0,0,5
1106,"INDIRA INSTITUTE OF ENGINEERING AND TECHNOLOGY","Affilated Non - Autonomous","ANNA UNIVERSITY",TIRUVALLUR,"Zone I : Chennai-I",1,"B.Tech Information Technology",4,0,0,0,4
1107,"J N N INSTITUTE OF ENGINEERING","Affilated Non - Autonomous","ANNA UNIVERSITY",TIRUVALLUR,"Zone I : Chennai-I",1,"B.E Agriculture Engineering",49,0,20,29,0
1107,"J N N INSTITUTE OF ENGINEERING","Affilated Non - Autonomous","ANNA UNIVERSITY",TIRUVALLUR,"Zone I : Chennai-I",1,"B.Tech Agriculture Engineering",6,6,0,0,0
1107,"J N N INSTITUTE OF ENGINEERING","Affilated Non - Autonomous","ANNA UNIVERSITY",TIRUVALLUR,"Zone I : Chennai-I",1,"B.E Electronics and Communication Engineering",134,39,28,29,38
1107,"J N N INSTITUTE OF ENGINEERING","Affilated Non - Autonomous","ANNA UNIVERSITY",TIRUVALLUR,"Zone I : Chennai-I",1,"B.E Robotics and Automation Engineering",46,9,14,23,0
1107,"J N N INSTITUTE OF ENGINEERING","Affilated Non - Autonomous","ANNA UNIVERSITY",TIRUVALLUR,"Zone I : Chennai-I",1,"B.E Computer Science and Engineering (CyberSecurity)",38,38,0,0,0
1107,"J N N INSTITUTE OF ENGINEERING","Affilated Non - Autonomous","ANNA UNIVERSITY",TIRUVALLUR,"Zone I : Chennai-I",1,"B.E Computer Science and Engineering",291,73,84,85,49
1107,"J N N INSTITUTE OF ENGINEERING","Affilated Non - Autonomous","ANNA UNIVERSITY",TIRUVALLUR,"Zone I : Chennai-I",1,"B.Tech Artificial Intelligence and Data Science",145,40,60,45,0
1107,"J N N INSTITUTE OF ENGINEERING","Affilated Non - Autonomous","ANNA UNIVERSITY",TIRUVALLUR,"Zone I : Chennai-I",1,"B.E Mechanical Engineering",6,0,0,0,6
1107,"J N N INSTITUTE OF ENGINEERING","Affilated Non - Autonomous","ANNA UNIVERSITY",TIRUVALLUR,"Zone I : Chennai-I",1,,1,0,1,0,0
1107,"J N N INSTITUTE OF ENGINEERING","Affilated Non - Autonomous","ANNA UNIVERSITY",TIRUVALLUR,"Zone I : Chennai-I",1,"B.E Biomedical Engineering",109,19,47,43,0
1108,"JAYA ENGINEERING COLLEGE","Affilated Non - Autonomous","ANNA UNIVERSITY",TIRUVALLUR,"Zone I : Chennai-I",1,"B.E Electrical and Electronics Engineering",79,6,24,37,12
1108,"JAYA ENGINEERING COLLEGE","Affilated Non - Autonomous","ANNA UNIVERSITY",TIRUVALLUR,"Zone I : Chennai-I",1,"B.Tech Information Technology",192,90,66,18,18
1108,"JAYA ENGINEERING COLLEGE","Affilated Non - Autonomous","ANNA UNIVERSITY",TIRUVALLUR,"Zone I : Chennai-I",1,,1,0,1,0,0
1108,"JAYA ENGINEERING COLLEGE","Affilated Non - Autonomous","ANNA UNIVERSITY",TIRUVALLUR,"Zone I : Chennai-I",1,"B.E Computer Science and Engineering",288,106,92,47,43
1108,"JAYA ENGINEERING COLLEGE","Affilated Non - Autonomous","ANNA UNIVERSITY",TIRUVALLUR,"Zone I : Chennai-I",1,"B.E Mechanical Engineering",106,8,35,38,25
1108,"JAYA ENGINEERING COLLEGE","Affilated Non - Autonomous","ANNA UNIVERSITY",TIRUVALLUR,"Zone I : Chennai-I",1,"B.E Aeronautical Engineering",40,13,13,9,5
1108,"JAYA ENGINEERING COLLEGE","Affilated Non - Autonomous","ANNA UNIVERSITY",TIRUVALLUR,"Zone I : Chennai-I",1,"B.E Electronics and instrumentation engineering",33,1,12,11,9
1108,"JAYA ENGINEERING COLLEGE","Affilated Non - Autonomous","ANNA UNIVERSITY",TIRUVALLUR,"Zone I : Chennai-I",1,"B.E Civil Engineering",63,4,7,45,7
1108,"JAYA ENGINEERING COLLEGE","Affilated Non - Autonomous","ANNA UNIVERSITY",TIRUVALLUR,"Zone I : Chennai-I",1,"B.E Electronics and Communication Engineering",100,26,44,28,2
1108,"JAYA ENGINEERING COLLEGE","Affilated Non - Autonomous","ANNA UNIVERSITY",TIRUVALLUR,"Zone I : Chennai-I",1,"B.Tech Textile Technology",75,6,28,23,18
1111,"JAYA INSTITUTE OF TECHNOLOGY","Affilated Non - Autonomous","ANNA UNIVERSITY",TIRUVALLUR,"Zone I : Chennai-I",1,"B.E Mechanical Engineering",88,2,32,29,25
1111,"JAYA INSTITUTE OF TECHNOLOGY","Affilated Non - Autonomous","ANNA UNIVERSITY",TIRUVALLUR,"Zone I : Chennai-I",1,"B.E Electrical and Electronics Engineering",67,0,28,26,13
1111,"JAYA INSTITUTE OF TECHNOLOGY","Affilated Non - Autonomous","ANNA UNIVERSITY",TIRUVALLUR,"Zone I : Chennai-I",1,"B.E Electronics and Communication Engineering",45,2,23,15,5
